A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
b,22.08,11.46,g,k,bb,1.585,f,f,0,t,g,100,1213,-
a,22.67,7.0,g,c,bb,0.165,f,f,0,f,g,160,1,-
a,29.58,1.75,p,k,bb,1.25,f,f,0,t,g,280,1,-
a,21.67,11.5,p,j,j,0.0,t,t,11,t,g,0,1,+
b,20.17,8.17,g,aa,bb,1.96,t,t,14,f,g,60,159,+
a,15.83,0.585,g,c,h,1.5,t,t,2,f,g,100,1,+
b,17.42,6.5,g,i,bb,0.125,f,f,0,f,g,60,101,-
a,58.67,4.46,g,q,h,3.04,t,t,6,f,g,43,561,+
b,27.83,1.0,p,d,h,3.0,f,f,0,f,g,176,538,-
a,55.75,7.08,g,k,h,6.75,t,t,3,t,g,100,51,-
b,33.5,1.75,g,x,h,4.5,t,t,4,t,g,253,858,+
b,41.42,5.0,g,q,h,5.0,t,t,6,t,g,470,1,+
b,20.67,1.25,p,c,h,1.375,t,t,3,t,g,140,211,-
b,34.92,5.0,g,x,h,7.5,t,t,6,t,g,0,1001,+
b,58.58,2.71,g,c,bb,2.415,f,f,0,t,g,320,1,-
b,48.08,6.04,g,k,bb,0.04,f,f,0,f,g,0,2691,+
b,29.58,4.5,g,w,bb,7.5,t,t,2,t,g,330,1,+
a,18.92,9.0,g,aa,bb,0.75,t,t,2,f,g,88,592,+
b,20.0,1.25,p,k,bb,0.125,f,f,0,f,g,140,5,-
a,22.42,5.665,g,q,bb,2.585,t,t,7,f,g,129,3258,+
a,28.17,0.585,g,aa,bb,0.04,f,f,0,f,g,260,1005,-
a,19.17,0.585,p,aa,bb,0.585,t,f,0,t,g,160,1,-
b,41.17,1.335,g,d,bb,0.165,f,f,0,f,g,168,1,-
b,41.58,1.75,g,k,bb,0.21,t,f,0,f,g,160,1,-
b,19.5,9.585,g,aa,bb,0.79,f,f,0,f,g,80,351,-
b,32.75,1.5,g,cc,h,5.5,t,t,3,t,g,0,1,+
b,22.5,0.125,p,k,bb,0.125,f,f,0,f,g,200,71,-
b,33.17,3.04,p,c,h,2.04,t,t,1,t,g,180,18028,+
a,30.67,12.0,g,c,bb,2.0,t,t,1,f,g,220,20,+
b,23.08,2.5,g,c,bb,1.085,t,t,11,t,g,60,2185,+
b,27.0,0.75,g,c,h,4.25,t,t,3,t,g,312,151,+
a,20.42,10.5,p,x,h,0.0,f,f,0,t,g,154,33,-
b,52.33,1.375,p,c,h,9.46,t,f,0,t,g,200,101,-
b,23.08,11.5,g,w,h,2.125,t,t,11,t,g,290,285,+
b,42.83,1.25,g,m,bb,13.875,f,t,1,t,g,352,113,-
b,74.83,19.0,p,ff,ff,0.04,f,t,2,f,g,0,352,-
b,25.0,12.5,g,aa,bb,3.0,t,f,0,t,s,20,1,+
b,39.58,13.915,g,w,bb,8.625,t,t,6,t,g,70,1,+
a,47.75,8.0,g,c,bb,7.875,t,t,6,t,g,0,1261,+
a,47.42,3.0,g,x,bb,13.875,t,t,2,t,g,519,1705,+
b,23.17,0.0,g,cc,bb,0.085,t,f,0,f,g,0,1,+
b,22.58,1.5,p,aa,bb,0.54,f,f,0,t,g,120,68,-
b,26.75,1.125,g,x,h,1.25,t,f,0,f,g,0,5299,+
b,63.33,0.54,g,c,bb,0.585,t,t,3,t,g,180,1,-
b,23.75,0.415,p,c,bb,0.04,f,t,2,f,g,128,7,-
a,20.75,10.25,g,q,bb,0.71,t,t,2,t,g,49,1,+
a,24.5,1.75,p,c,bb,0.165,f,f,0,f,g,132,1,-
b,16.17,0.04,g,c,bb,0.04,f,f,0,f,g,0,1,+
a,29.5,2.0,p,e,h,2.0,f,f,0,f,g,256,18,-
a,52.83,15.0,g,c,bb,5.5,t,t,14,f,g,0,2201,+
b,32.33,3.5,g,k,bb,0.5,f,f,0,t,g,232,1,-
b,21.08,4.125,p,i,h,0.04,f,f,0,f,g,140,101,-
b,28.17,0.125,p,k,bb,0.085,f,f,0,f,g,216,2101,-
b,19.0,1.75,p,c,bb,2.335,f,f,0,t,g,112,7,-
b,27.58,3.25,p,q,h,5.085,f,t,2,t,g,369,2,-
b,27.83,1.5,g,w,bb,2.0,t,t,11,t,g,434,36,+
b,40.0,6.5,g,aa,v,3.5,t,t,1,f,g,0,501,+
a,37.33,2.5,g,i,h,0.21,f,f,0,f,g,260,247,-
b,42.5,4.915,p,w,bb,3.165,t,f,0,t,g,52,1443,+
b,56.75,12.25,g,m,bb,1.25,t,t,4,t,g,200,1,+
b,43.17,5.0,g,i,v,2.25,f,f,0,t,g,141,1,-
a,23.75,0.71,g,w,bb,0.25,f,t,1,t,g,240,5,-
b,18.5,2.0,g,i,bb,1.5,t,t,2,f,g,120,301,+
a,40.83,3.5,g,i,v,0.5,f,f,0,f,s,1160,1,-
a,24.5,0.5,g,q,h,1.5,t,f,0,f,g,280,825,+
b,42.0,9.79,g,x,h,7.96,t,t,8,f,g,0,1,+
a,19.5,0.165,g,q,bb,0.04,f,f,0,t,g,380,1,-
b,21.5,11.5,g,i,bb,0.5,t,f,0,t,g,100,69,-
b,31.25,2.835,g,ff,ff,0.0,f,t,5,f,g,176,147,-
b,27.25,1.585,g,cc,h,1.835,t,t,12,t,g,583,714,+
b,48.75,26.335,p,ff,ff,0.0,t,f,0,t,g,0,1,-
a,30.42,1.375,g,w,h,0.04,f,t,3,f,g,0,34,-
b,29.42,1.25,g,w,bb,1.75,f,f,0,f,g,200,1,-
b,28.25,5.04,p,c,v,1.5,t,t,8,t,g,144,8,+
b,40.25,21.5,g,e,z,20.0,t,t,11,f,g,0,1201,+
b,36.5,4.25,g,q,bb,3.5,f,f,0,f,g,454,51,-
b,25.58,0.335,g,k,h,3.5,f,f,0,t,g,340,1,-
b,29.83,3.5,g,c,bb,0.165,f,f,0,f,g,216,1,-
b,23.08,0.0,g,k,bb,1.0,f,t,11,f,s,0,1,-
a,32.17,1.46,g,w,bb,1.085,t,t,16,f,g,120,2080,+
b,25.17,3.5,g,cc,bb,0.625,t,t,7,f,g,0,7060,+
a,35.17,3.75,g,ff,ff,0.0,f,t,6,f,g,0,201,-
a,18.58,10.0,g,d,bb,0.415,f,f,0,f,g,80,43,-
b,39.92,5.0,g,i,v,0.21,f,f,0,f,g,550,1,-
b,23.42,1.0,g,c,bb,0.5,f,f,0,t,s,280,1,-
b,37.58,0.0,g,c,bb,0.0,f,f,0,f,p,184,1,+
a,24.75,13.665,g,q,h,1.5,f,f,0,f,g,280,2,-
a,47.0,13.0,g,i,v,5.165,t,t,9,t,g,0,1,+
b,34.17,5.25,g,w,bb,0.085,f,f,0,t,g,290,7,+
b,22.17,0.585,p,ff,ff,0.0,f,f,0,f,g,100,1,-
b,27.75,1.29,g,k,h,0.25,f,f,0,t,s,140,1,-
b,42.75,4.085,g,aa,bb,0.04,f,f,0,f,g,108,101,-
b,28.67,14.5,g,d,bb,0.125,f,f,0,f,g,0,287,-
b,36.25,5.0,g,c,v,2.5,t,t,6,f,g,0,368,+
a,18.17,10.0,p,q,h,0.165,f,f,0,f,g,340,1,-
b,21.25,1.5,g,w,bb,1.5,f,f,0,f,g,150,9,+
a,38.92,1.665,g,aa,bb,0.25,f,f,0,f,g,0,391,-
b,31.83,0.04,p,m,bb,0.04,f,f,0,f,g,0,1,-
a,17.33,9.5,g,aa,bb,1.75,f,t,10,t,g,0,11,-
a,20.42,0.835,g,q,bb,1.585,t,t,1,f,g,0,1,+
a,39.08,4.0,g,c,bb,3.0,f,f,0,f,g,480,1,-
b,38.67,0.21,g,k,bb,0.085,t,f,0,t,g,280,1,+
b,27.67,13.75,g,w,bb,5.75,t,f,0,t,g,487,501,+
b,27.75,0.585,p,cc,bb,0.25,t,t,2,f,g,260,501,+
b,19.0,0.0,p,ff,ff,0.0,f,t,4,f,g,45,2,-
a,25.0,0.875,g,x,h,1.04,t,f,0,t,g,160,5861,+
b,27.67,2.0,g,x,h,1.0,t,t,4,f,g,140,7545,+
b,22.25,9.0,g,aa,bb,0.085,f,f,0,f,g,0,1,-
a,49.83,13.585,g,k,h,8.5,t,f,0,t,g,0,1,+
b,32.33,2.5,g,c,bb,1.25,f,f,0,t,g,280,1,-
b,38.25,10.125,p,k,bb,0.125,f,f,0,f,g,160,1,-
b,47.33,6.5,g,c,bb,1.0,f,f,0,t,g,0,229,-
b,27.83,4.0,p,i,h,5.75,t,t,2,t,g,75,1,-
a,35.75,0.915,g,aa,bb,0.75,t,t,4,f,g,0,1584,+
b,33.58,0.25,g,i,v,4.0,f,f,0,t,s,420,1,-
b,34.08,0.08,p,m,v,0.04,t,t,1,t,g,280,2001,+
a,20.75,10.335,g,cc,h,0.335,t,t,1,t,g,80,51,+
b,33.17,1.0,g,x,bb,0.75,t,t,7,t,g,340,4072,+
b,22.75,11.0,g,q,bb,2.5,t,t,7,t,g,100,810,+
b,48.75,8.5,g,c,h,12.5,t,t,9,f,g,181,1656,+
b,40.58,5.0,g,c,bb,5.0,t,t,7,f,g,0,3066,+
b,20.67,0.835,p,c,bb,2.0,f,f,0,t,s,240,1,-
a,38.75,1.5,g,ff,ff,0.0,f,f,0,f,g,76,1,-
a,57.08,19.5,g,c,bb,5.5,t,t,7,f,g,0,3001,+
a,31.25,3.75,g,cc,h,0.625,t,t,9,t,g,181,1,+
b,22.0,0.79,g,w,bb,0.29,f,t,1,f,g,420,284,-
a,58.33,10.0,g,q,bb,4.0,t,t,14,f,g,0,1603,+
b,28.92,0.375,g,c,bb,0.29,f,f,0,f,g,220,141,-
a,46.0,4.0,g,j,j,0.0,t,f,0,f,g,100,961,+
b,21.0,3.0,p,d,bb,1.085,t,t,8,t,g,160,2,+
a,24.75,12.5,g,aa,bb,1.5,t,t,12,t,g,120,568,+
a,20.83,0.5,p,e,dd,1.0,f,f,0,f,g,260,1,-
b,24.58,13.5,p,ff,ff,0.0,f,f,0,f,g,184,1,-
a,26.5,2.71,p,c,bb,0.085,f,f,0,f,s,80,1,-
b,40.92,0.835,g,ff,ff,0.0,t,f,0,f,g,130,2,-
a,38.33,4.415,g,c,bb,0.125,f,f,0,f,g,160,1,-
b,19.58,0.585,g,ff,ff,0.0,f,t,3,f,g,350,770,-
b,39.25,9.5,g,m,bb,6.5,t,t,14,f,g,240,4608,+
b,25.75,0.5,g,c,bb,1.46,t,t,5,t,g,312,1,+
a,46.08,3.0,g,c,bb,2.375,t,t,8,t,g,396,4160,+
b,19.67,10.0,p,k,h,0.835,t,f,0,t,g,140,1,-
a,22.25,1.25,p,ff,ff,3.25,f,f,0,f,g,280,1,-
b,18.83,3.54,p,ff,ff,0.0,f,f,0,t,g,180,2,-
b,64.08,20.0,g,x,h,17.5,t,t,9,t,g,0,1001,+
