id,bike_name,city_posted,km_driven,color,fuel_type,price,model_year,owner_type
36082,royal_enfield_bullet_electra_twinspark,delhi,900,black,petrol,110000,2015,firstowner
36115,royal_enfield_thunderbird_350,mumbai,15000,black,petrol,110000,2013,firstowner
36118,royal_enfield_bullet_350,mumbai,50000,grey,petrol,110000,1984,fifthowner
36119,ktm_duke_200,mumbai,13000,white,petrol,100000,2014,firstowner
36120,yamaha_yzf_r15_version_2.0,mumbai,28000,red,petrol,70000,2013,firstowner
36121,yamaha_yzf_r15_version_2.0,mumbai,40000,red,petrol,74000,2012,firstowner
36122,hero_honda_passion_plus,mumbai,80000,red,petrol,14000,2002,secondowner
36123,yamaha_yzf_r15_version_2.0,mumbai,15000,black,petrol,73000,2013,secondowner
36124,honda_cbr_250r_standard,mumbai,14000,red,petrol,110000,2012,firstowner
36125,bajaj_pulsar_180cc_dtsi,mumbai,40000,blue,petrol,21999,2008,firstowner
36128,yamaha_gladiator_ss,mumbai,60000,red,petrol,19000,2008,secondowner
36145,suzuki_gs150r,mumbai,50000,blue,petrol,22000,2010,secondowner
36146,honda_cbr_250r_standard,mumbai,10000,black,petrol,150000,2014,firstowner
36148,yamaha_rxz_std,mumbai,58000,blue,petrol,32000,1997,secondowner
36197,bajaj_pulsar_135,delhi,36626,red,petrol,23000,2010,firstowner
36198,ktm_duke_200,delhi,9200,black,petrol,110000,2014,firstowner
36199,bajaj_caliber_115,delhi,60000,blue,petrol,14000,2003,firstowner
36200,bajaj_pulsar_150cc_dtsi,delhi,22000,black,petrol,24000,2007,firstowner
36201,bajaj_pulsar_150cc_dtsi,delhi,40000,silver,petrol,14500,2006,secondowner
36202,bajaj_platina_100_alloy_wheel_ks,delhi,19700,black,petrol,24000,2010,secondowner
36203,bajaj_pulsar_135,delhi,65000,red,petrol,28000,2011,firstowner
36204,bajaj_pulsar_220f_dtsi,delhi,14000,black,petrol,50000,2012,firstowner
36205,bajaj_pulsar_180cc_dtsi,delhi,50000,blue,petrol,29999,2008,firstowner
36206,bajaj_pulsar_150cc_dtsi,delhi,43000,black,petrol,16000,2007,firstowner
36207,bajaj_pulsar_150cc_dtsi,delhi,70000,blue,petrol,12000,2003,secondowner
36208,bajaj_avenger_180,delhi,41000,grey,petrol,30000,2006,firstowner
36209,bajaj_pulsar_135,delhi,16000,black,petrol,59000,2014,firstowner
36210,bajaj_pulsar_200_ss,delhi,70000,red,petrol,34000,2009,secondowner
36211,bajaj_pulsar_150cc_dtsi,delhi,30000,black,petrol,58000,2013,firstowner
36212,bajaj_caliber_115,delhi,45000,green,petrol,9000,2002,firstowner
36213,hero_honda_karizma_zmr_pgm_fi,delhi,44000,red,petrol,39000,2010,secondowner
36214,hero_honda_passion_plus,delhi,63000,black,petrol,16000,2005,secondowner
36215,hero_honda_splendor_plus,delhi,35000,black,petrol,21999,2007,secondowner
36216,hero_motocorp_passion_pro_self_drum_alloy,delhi,17000,black,petrol,39000,2013,firstowner
36217,hero_honda_cbz_disc,delhi,58000,black,petrol,15000,2002,firstowner
36218,hero_honda_cbz_xtreme_self_start,delhi,60000,red,petrol,21000,2010,secondowner
36219,hero_honda_glamour,delhi,45000,black,petrol,23000,2010,secondowner
36220,hero_honda_splendor_pro,delhi,32000,black,petrol,30000,2011,firstowner
36221,hero_honda_karizma_zmr_pgm_fi,delhi,37000,black,petrol,34000,2010,secondowner
36222,hero_honda_cbz_xtreme_self_start,delhi,60000,black,petrol,16000,2006,firstowner
36223,hero_motocorp_passion_xpro_disc_self_cast,delhi,6500,black,petrol,55000,2014,firstowner
36224,hero_honda_splendor_plus,delhi,7350,black,petrol,38000,2013,firstowner
36225,hero_honda_splendor_pro,delhi,15000,black,petrol,39000,2012,firstowner
36226,hero_motocorp_ignitor_125_disc,delhi,74,white,petrol,50000,2015,firstowner
36227,honda_unicorn_spoke,delhi,60000,silver,petrol,14500,2005,firstowner
36229,royal_enfield_bullet_electra_twinspark,delhi,19250,silver,petrol,84999,2010,secondowner
36230,royal_enfield_classic_350,delhi,38000,maroon,petrol,90000,2011,firstowner
36231,royal_enfield_classic_500,delhi,16350,maroon,petrol,110000,2011,firstowner
36232,royal_enfield_thunderbird_350,delhi,11000,silver,petrol,89000,2010,firstowner
36233,royal_enfield_classic_chrome,delhi,22000,silver,petrol,140000,2012,firstowner
36234,tvs_apache_rtr_160,delhi,20000,grey,petrol,64000,2014,firstowner
