A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
24,lm,hm,3,islam,no,o2,hm,good,no-use
45,low,hm,10,islam,no,o3,high,good,no-use
43,lm,hm,7,islam,no,o3,high,good,no-use
42,hm,lm,9,islam,no,o3,hm,good,no-use
36,hm,hm,8,islam,no,o3,lm,good,no-use
19,high,high,0,islam,no,o3,hm,good,no-use
38,lm,hm,6,islam,no,o3,lm,good,no-use
21,hm,hm,1,islam,yes,o3,lm,good,no-use
27,lm,hm,3,islam,no,o3,high,good,no-use
45,low,low,8,islam,no,o2,lm,not-good,no-use
38,low,hm,2,islam,yes,o3,hm,not-good,no-use
42,low,high,4,islam,no,o1,hm,good,no-use
44,high,high,1,islam,yes,o1,high,good,no-use
42,lm,high,1,islam,yes,o3,hm,good,no-use
38,hm,high,2,islam,no,o2,hm,good,no-use
26,lm,high,0,islam,no,o4,low,good,no-use
48,low,low,7,islam,no,o2,high,good,no-use
39,lm,lm,6,islam,no,o2,high,good,no-use
37,lm,lm,8,islam,no,o2,hm,good,no-use
39,lm,low,5,islam,no,o2,low,not-good,no-use
26,hm,high,1,islam,yes,o4,low,good,no-use
24,hm,high,0,islam,yes,o3,low,good,no-use
46,high,high,1,non-islam,no,o1,high,good,no-use
39,high,high,1,islam,no,o1,high,good,no-use
48,high,high,5,islam,no,o1,high,good,no-use
40,lm,high,8,islam,no,o3,hm,good,no-use
38,high,high,1,islam,yes,o1,high,good,no-use
29,high,high,0,islam,yes,o1,high,good,no-use
24,high,high,0,islam,yes,o2,lm,good,no-use
43,low,lm,8,islam,no,o2,high,good,no-use
31,hm,high,2,islam,no,o1,high,good,no-use
31,high,high,2,islam,no,o3,lm,good,no-use
26,lm,high,0,islam,yes,o1,lm,good,no-use
33,lm,lm,2,islam,no,o3,low,good,no-use
24,lm,hm,1,islam,no,o3,hm,good,no-use
42,low,hm,9,islam,no,o3,lm,not-good,no-use
43,low,lm,8,islam,yes,o3,low,good,no-use
25,hm,hm,4,islam,no,o3,lm,good,no-use
42,lm,lm,3,islam,no,o3,high,good,no-use
28,lm,lm,1,islam,no,o2,high,good,no-use
28,low,low,3,islam,no,o3,low,good,no-use
47,lm,hm,0,islam,yes,o1,hm,good,no-use
48,lm,high,2,islam,no,o1,hm,good,no-use
40,high,high,2,non-islam,no,o1,high,good,no-use
28,lm,lm,1,islam,no,o3,lm,good,no-use
25,low,high,1,islam,no,o2,low,good,no-use
32,high,high,2,islam,no,o2,hm,good,no-use
45,high,high,0,islam,no,o2,high,good,no-use
26,high,high,1,islam,no,o1,high,good,no-use
26,high,high,0,islam,yes,o1,high,good,no-use
31,high,high,0,islam,yes,o1,high,good,no-use
49,high,high,7,non-islam,no,o2,high,good,no-use
40,hm,high,8,islam,no,o3,hm,good,no-use
34,high,high,1,non-islam,yes,o2,hm,good,no-use
36,lm,high,5,islam,no,o2,hm,good,no-use
20,lm,lm,2,islam,no,o2,lm,not-good,no-use
43,high,high,5,islam,yes,o1,high,good,no-use
37,hm,high,7,islam,no,o2,low,good,no-use
21,lm,hm,0,islam,no,o3,high,good,no-use
49,high,high,6,islam,no,o1,lm,good,no-use
42,hm,hm,10,islam,no,o3,hm,good,no-use
20,lm,hm,1,islam,no,o2,hm,good,no-use
47,low,lm,2,islam,yes,o1,hm,good,no-use
22,lm,hm,1,islam,no,o2,low,good,no-use
27,lm,high,1,islam,yes,o1,hm,good,no-use
24,lm,high,1,islam,no,o3,low,good,no-use
44,high,lm,8,islam,no,o3,hm,good,no-use
30,lm,hm,3,islam,no,o3,low,good,no-use
23,hm,high,2,islam,no,o3,high,good,no-use
25,high,high,1,islam,yes,o3,hm,good,no-use
47,lm,hm,4,islam,no,o2,hm,good,no-use
48,lm,hm,8,islam,no,o1,high,good,no-use
29,lm,hm,1,islam,no,o1,low,good,no-use
29,lm,hm,1,islam,no,o1,lm,good,no-use
21,hm,high,0,islam,no,o2,hm,good,no-use
21,hm,high,1,islam,no,o2,hm,good,no-use
29,high,high,0,islam,yes,o2,high,good,no-use
45,hm,high,3,islam,no,o1,high,good,no-use
33,lm,hm,2,islam,no,o3,lm,good,no-use
38,high,high,1,islam,yes,o1,high,good,no-use
24,high,high,0,non-islam,no,o1,high,good,no-use
49,high,high,6,non-islam,yes,o1,high,good,no-use
24,lm,high,1,islam,yes,o4,high,good,no-use
28,high,high,0,non-islam,yes,o1,high,good,no-use
30,high,high,2,islam,no,o1,high,good,no-use
33,high,high,2,islam,no,o1,high,good,no-use
25,high,high,1,islam,no,o1,hm,good,no-use
35,high,high,3,non-islam,no,o1,high,good,no-use
27,lm,high,4,islam,no,o1,high,good,no-use
24,lm,lm,3,islam,yes,o2,low,good,no-use
