color,director,actor_2,actor_1,title,actor_3,original_language,production_countries,content_rating,year,vote_average
color,james_cameron,joel_david_moore,cch_pounder,avatar,wes_studi,english,usa,pg-13,2009.0,8.0
color,gore_verbinski,orlando_bloom,johnny_depp,pirates_of_the_caribbean:_at_world's_end,jack_davenport,english,usa,pg-13,2007.0,7.0
color,sam_mendes,rory_kinnear,christoph_waltz,spectre,stephanie_sigman,english,uk,pg-13,2015.0,7.0
color,christopher_nolan,christian_bale,tom_hardy,the_dark_knight_rises,joseph_gordon-levitt,english,usa,pg-13,2012.0,8.0
color,andrew_stanton,samantha_morton,daryl_sabara,john_carter,polly_walker,english,usa,pg-13,2012.0,7.0
color,sam_raimi,james_franco,j.k._simmons,spider-man_3,kirsten_dunst,english,usa,pg-13,2007.0,6.0
color,nathan_greno,donna_murphy,brad_garrett,tangled,m.c._gainey,english,usa,pg,2010.0,8.0
color,joss_whedon,robert_downey_jr.,chris_hemsworth,avengers:_age_of_ultron,scarlett_johansson,english,usa,pg-13,2015.0,8.0
color,david_yates,daniel_radcliffe,alan_rickman,harry_potter_and_the_half-blood_prince,rupert_grint,english,uk,pg,2009.0,8.0
color,zack_snyder,lauren_cohan,henry_cavill,batman_v_superman:_dawn_of_justice,alan_d._purwin,english,usa,pg-13,2016.0,7.0
color,bryan_singer,marlon_brando,kevin_spacey,superman_returns,frank_langella,english,usa,pg-13,2006.0,6.0
color,marc_forster,mathieu_amalric,giancarlo_giannini,quantum_of_solace,rory_kinnear,english,uk,pg-13,2008.0,7.0
color,gore_verbinski,orlando_bloom,johnny_depp,pirates_of_the_caribbean:_dead_man's_chest,jack_davenport,english,usa,pg-13,2006.0,7.0
color,gore_verbinski,ruth_wilson,johnny_depp,the_lone_ranger,tom_wilkinson,english,usa,pg-13,2013.0,6.0
color,zack_snyder,christopher_meloni,henry_cavill,man_of_steel,harry_lennix,english,usa,pg-13,2013.0,7.0
