id,bike_name,city_posted,km_driven,color,fuel_type,price,model_year,owner_type
12,tvs_apache_rtr_160_rear_drum_brake,mumbai,28500,grey,petrol,40000,2010,first
20,bajaj_discover_125_disc,mumbai,21300,green,petrol,27000,2009,first
26,bajaj_pulsar_150_dts-_i,bangalore,20000,black,petrol,70000,2010,first
29,royal_enfield_thunderbird_twinspark,mumbai,20000,black,petrol,85000,2008,first
53,hero_karizma_r,mumbai,35000,black,petrol,45000,2007,first
64,bajaj_pulsar_200_ns,bangalore,56000,blue,petrol,40000,2007,first
73,honda_activa_deluxe,mumbai,69000,black,petrol,20000,2004,first
74,yamaha_fz16_standard,bangalore,6200,midnite_spcl_edition,petrol,65000,2010,second
87,yamaha_fazer_standard,mumbai,15000,black,petrol,60000,2011,first
98,yamaha_yzf_r15_v_2.0,mumbai,19000,black,petrol,62000,2010,second
102,hero_passion_pro_kick_alloy,bangalore,30000,black,petrol,30000,2008,first
103,hero_hunk_rear_drum_brake,mumbai,10345,red,petrol,54000,2009,first
104,bajaj_avenger_220_dts-_i,mumbai,37000,black,petrol,42000,2003,second
105,hero_karizma_r,bangalore,15000,black,petrol,55000,2005,first
114,bajaj_pulsar_150_dts-_i,mumbai,22000,red,petrol,38000,2009,first
118,royal_enfield_thunderbird_twinspark,bangalore,10000,silver,petrol,90000,2009,first
134,bajaj_avenger_220_dts-_i,bangalore,17000,blue,petrol,65000,2010,first
152,honda_cb_shine_kick/drum/spokes,bangalore,30000,blue,petrol,35000,2009,second
153,bajaj_discover_150,bangalore,4500,black,petrol,45000,2011,first
156,bajaj_avenger_220_dts-_i,bangalore,31000,blue,petrol,50000,2006,second
163,bajaj_pulsar_180_dts-_i,mumbai,19000,blue,petrol,53000,2010,first
183,honda_activa_deluxe,bangalore,900,white,petrol,52000,2012,first
197,bajaj_pulsar_220_f,bangalore,23000,black,petrol,60000,2009,first
213,hyosung_gt250r_standard,mumbai,38000,red,petrol,175000,2003,second
226,hero_karizma_r,mumbai,35000,yellow,petrol,40000,2006,second
229,bajaj_pulsar_150_dts-_i,bangalore,59500,silver,petrol,25000,2006,first
230,hero_karizma_r,mumbai,28000,black,petrol,55000,2008,first
231,honda_cb_unicorn_standard,bangalore,19000,orange,petrol,50000,2007,first
234,bajaj_platina_platina_100_spoke_wheel,bangalore,50000,blue,petrol,25000,2007,first
240,bajaj_pulsar_150_dts-_i,mumbai,8000,black,petrol,25000,2006,first
245,bajaj_pulsar_150_dts-_i,mumbai,77000,black,petrol,25000,2003,first
252,honda_cb_unicorn_standard,mumbai,60000,red,petrol,22000,2004,second
255,bajaj_avenger_220_dts-_i,bangalore,40000,black,petrol,40000,2006,second
272,bajaj_discover_125_drum,mumbai,40000,black,petrol,23000,2006,first
277,yamaha_rx_135,bangalore,53487,white,petrol,75000,1990,fourth
283,honda_cb_shine_electric_start/disc/alloy,mumbai,14800,black,petrol,40000,2007,first
284,honda_cb_unicorn_dazzler_standard,mumbai,27000,black,petrol,54000,2010,first
290,hero_xtreme_rear_disc_brake,mumbai,41000,black,petrol,48000,2009,first
308,hero_hunk_rear_disc_brake,mumbai,3353,red,petrol,59551,2011,first
313,honda_activa_deluxe,mumbai,29000,silver,petrol,38000,2008,first
