gender,areacode,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp
F,401,RUMFORD,RI,2916,S,N,15000,0.0,0,0,0
F,401,PRUDENCE-ISLAND,RI,2872,M,Y,100000,0.0,0,0,0
M,401,GREENE,RI,2827,S,N,40000,0.0,0,0,0
F,808,KANEOHE,HI,96744,M,Y,90000,8.25,0,2080,1040
M,603,STRATHAM,NH,3885,M,N,85000,0.0,0,0,0
M,808,HALEIWA,HI,96712,M,N,85000,8.25,0,2080,0
F,302,NEWARK,DE,19725,M,N,50000,5.268182,0,220,0
M,808,KUNIA,HI,96759,M,Y,25000,5.546053,0,2080,1040
M,302,DELMAR,DE,19940,M,Y,20000,3.2227273,0,220,110
M,808,HONOLULU,HI,96807,S,Y,15000,3.743421,1040,0,1040
F,302,NEWARK,DE,19712,M,N,25000,3.5636363,0,220,0
F,401,MANVILLE,RI,2838,S,N,25000,0.0,0,0,0
F,808,PAIA,HI,96779,S,N,90000,8.25,1040,0,0
F,401,ALBION,RI,2802,M,Y,30000,0.0,0,0,0
F,302,PORT-PENN,DE,19731,S,Y,35000,4.2454550000000015,110,0,110
M,302,NEWARK,DE,19702,M,N,55000,5.609091,0,220,0
M,702,DENIO,NV,89404,M,N,95000,0.0,0,0,0
F,808,LANAI-CITY,HI,96763,S,N,100000,8.25,1040,0,0
M,401,PROVIDENCE,RI,2904,M,Y,30000,0.0,0,0,0
F,401,CHEPACHET,RI,2814,M,N,30000,0.0,0,0,0
M,808,MOUNTAIN-VIEW,HI,96771,M,Y,35000,7.348684299999999,0,2080,1040
F,401,BLOCK-ISLAND,RI,2807,M,Y,15000,0.0,0,0,0
M,401,CRANSTON,RI,2921,M,N,25000,0.0,0,0,0
M,808,OOKALA,HI,96774,S,N,90000,8.25,1040,0,0
F,939,ARECIBO,PR,613,S,Y,75000,0.0,0,0,0
M,302,ROCKLAND,DE,19732,M,N,70000,5.95,0,220,0
F,787,SAN-JUAN,PR,915,M,N,50000,0.0,0,0,0
M,401,GREENE,RI,2827,S,Y,30000,0.0,0,0,0
F,787,LAS-PIEDRAS,PR,771,M,N,15000,0.0,0,0,0
M,808,HONOLULU,HI,96824,M,N,75000,8.25,0,2080,0
M,401,ASHAWAY,RI,2804,S,N,10000,0.0,0,0,0
M,302,DOVER-AFB,DE,19902,M,Y,55000,5.609091,0,220,110
F,775,SPARKS,NV,89434,S,N,40000,0.0,0,0,0
M,939,JUANA-DIAZ,PR,795,S,N,15000,0.0,0,0,0
M,787,PALMER,PR,721,S,N,65000,0.0,0,0,0
M,787,TOA-BAJA,PR,949,S,N,40000,0.0,0,0,0
M,302,NEWARK,DE,19714,S,N,55000,5.609091,110,0,0
F,307,SHIRLEY-BASIN,WY,82615,M,Y,40000,0.0,0,0,0
M,401,PAWTUCKET,RI,2860,M,Y,50000,0.0,0,0,0
F,939,LARES,PR,669,S,N,15000,0.0,0,0,0
F,769,MARKS,MS,38646,M,N,95000,5.0,0,12000,0
F,401,PROVIDENCE,RI,2903,S,N,75000,0.0,0,0,0
M,302,WILMINGTON,DE,19895,S,N,35000,4.2454550000000015,110,0,0
M,787,QUEBRADILLAS,PR,678,S,N,55000,0.0,0,0,0
M,401,CRANSTON,RI,2920,M,Y,45000,0.0,0,0,0
M,401,HARRISVILLE,RI,2830,M,Y,30000,0.0,0,0,0
M,307,PARKMAN,WY,82838,M,N,15000,0.0,0,0,0
M,307,GREYBULL,WY,82426,S,Y,80000,0.0,0,0,0
M,808,HONOLULU,HI,96839,S,N,50000,8.25,1040,0,0
F,787,TRUJILLO-ALTO,PR,976,S,N,90000,0.0,0,0,0
M,401,HARMONY,RI,2829,S,N,40000,0.0,0,0,0
F,302,WILMINGTON,DE,19885,M,Y,20000,3.2227273,0,220,110
F,907,SHAGELUK,AK,99665,S,Y,55000,0.0,0,0,0
F,302,WILMINGTON,DE,19899,S,Y,40000,4.586364,110,0,110
F,307,ALCOVA,WY,82620,M,Y,25000,0.0,0,0,0
F,302,DOVER,DE,19905,S,Y,80000,5.95,110,0,110
F,307,TEN-SLEEP,WY,82442,M,Y,15000,0.0,0,0,0
F,302,WILMINGTON,DE,19809,M,Y,55000,5.609091,0,220,110
M,401,SHANNOCK,RI,2875,M,N,35000,0.0,0,0,0
M,787,CAROLINA,PR,984,M,N,15000,0.0,0,0,0
M,401,PROVIDENCE,RI,2902,S,N,10000,0.0,0,0,0
F,401,MAPLEVILLE,RI,2839,S,Y,35000,0.0,0,0,0
M,401,PROVIDENCE,RI,2918,M,Y,90000,0.0,0,0,0
F,401,CHARLESTOWN,RI,2813,S,N,5000,0.0,0,0,0
